단어,개수
매출액은,4
23%,2
증가한,4
242억원,1
자료=셀바스AI,1
제공[파이낸셜뉴스],1
셀바스AI가,1
올해,4
상반기,6
연결,3
기준,8
매출액,7
"242억원,",1
영업이익,3
30억원을,3
달성했다고,1
16일,2
밝혔다.,12
이는,2
전년,2
동기,1
대비,4
각각,1
"23%,",1
813%,2
규모다.,1
별도기준,2
"103억원,",2
영업이익은,2
13억원이다.,1
모기업,1
셀바스AI의,8
인공지능(AI),8
기반,13
제품,10
및,25
"헬스케어,",2
에듀테크,4
등,28
전,4
사업,12
실적,3
증가와,2
종속기업,2
셀바스,3
헬스케어의,2
의료기기,12
인기가,1
성장을,1
견인했다는,1
게,1
회사,4
설명이다.,5
"음성인식,",3
"음성합성,",3
필기,2
OCR,2
인식기술은,2
AI융합,2
제품화를,2
통해,18
국내,14
"대기업,",2
"공공기관,",3
병원,3
등에,6
공급,2
중이다.,6
셀바스AI는,6
지난주,2
3자배정,2
유상증자,2
등을,4
위지윅스튜디오로부터,2
총,2
50억원,2
규모,2
투자를,2
유치하기도,1
했다.,7
이를,6
위지윅스튜디오가,3
보유한,7
메타버스&미디어,1
콘텐츠,5
"작품,",2
배우·예능인,1
지적재산권(IP)에,2
인공지능,14
"음성인식(STT),",2
음성합성(TTS),2
기술을,7
적용하는,2
협업모델을,2
논의하고,2
있다.,20
곽민철,1
셀바스AI,6
대표이사는,2
“음성지능,2
시장에서,2
기술력뿐,1
아니라,4
사업화,2
모두를,3
당사에,2
대한,18
니즈가,2
지속적으로,5
증가하고,2
있다”며,2
“AI,1
기업,6
중,8
모두,2
유일하게,3
성장,1
중인,1
기업으로,3
연간,4
기준으로도,2
최대,3
실적을,3
올릴,2
것”이라고,3
설명했다.,2
#셀바스AI,1
[이데일리,10
김겨레,1
기자],11
셀바스AI(108860)는,6
2분기,1
연결기준,2
영업이익이,1
전년동기대비,1
거뒀다고,1
공시했다.,7
같은,2
기간,1
242억원이었다.,1
13억원이다.상반기,1
호실적은,1
사업의,2
때문이라는,1
사람과,1
기기,1
간,1
효율적,1
소통을,1
위해,19
다양한,7
분야에,1
활용되고,1
"있으며,",5
중이다.아울러,1
규모의,3
유치했다.,1
위지윅스튜디오는,1
세계,4
최고,2
수준의,6
컴퓨터그래픽(CG)·시각특수효과(VFX),1
바탕으로,1
디지털영상,1
컨텐츠,1
"기획,",1
"연출,",1
제작,1
솔루션,15
메타버스,4
원천,1
기술력을,3
기업이다.,1
이번,11
투자,1
유치를,1
메타버스·미디어,2
배우·예능인의,1
이후,3
위지윅스튜디오를,1
포함한,3
계열사들이,1
기술과,3
결합해,1
신사업,2
모델도,1
발굴할,1
예정이다.곽민철,1
기술력,1
뿐,1
성장중인,1
것으로,11
전망한다”며,1
“이번,4
투자유치를,1
작품,1
당사의,1
음성기술,1
적용뿐,1
모델,2
발굴을,1
신사업의,1
경쟁력을,1
강화할,1
이은정,2
타법인,2
증권,2
취득자금,2
확보를,2
약,4
20억원,1
제3자배정,2
유상증자를,2
결정했다고,4
12일,3
신주,3
발행가액은,2
보통주,2
6600원이다.,1
납입일은,1
2022년,4
"8월22일이며,",1
상장,3
예정일은,1
9월7일이다.,1
대상자는,1
위지윅스튜디오다.,1
30억원,1
무기명식,1
무보증,1
사모,1
전환사채,2
발행을,1
표면이자율은,1
"0.0%,",1
만기이자율은,1
0.2%다.,1
사채만기일은,1
2024년,2
8월22일이다.,1
전환청구기간은,1
2023년,1
8월22일부터,1
7월22일까지다.,1
전환에,1
따라,10
주식총수,1
1.80%에,1
해당하는,2
40만4530주가,1
발행될,1
수,51
[서울=뉴시스],3
김경택,2
기자,6
=,7
전문기업,4
수학식,2
필기인식,4
솔루션이,2
140여개국에,1
서비스되는,1
웅진씽크빅의,2
AI(인공지능),1
연산,2
앱,1
'매쓰피드'에,1
적용됐다고,2
19일,3
밝혔다.회사,1
측에,2
따르면,7
매쓰피드에,1
적용된,5
'셀비,2
펜(Selvy,2
Pen)'은,1
문제의,2
정답을,2
손글씨로,3
입력하면,2
자동으로,8
디지털,9
텍스트로,3
전환하는,1
솔루션이다.,3
전환된,2
텍스트는,2
수식의,2
정답,2
여부를,2
확인할,5
있어,7
채점하는,2
기능을,2
제공한다.96%,1
이상,4
높은,5
인식,8
성능을,2
제공하며,1
이미,3
"금융,",2
"자동차,",1
"모바일,",1
가전,1
산업,6
영역의,1
상용화,1
경험을,1
검증된,1
안정성을,1
확보하고,2
특히,1
"한글,",1
영어,1
50개,3
언어와,3
"도형,",3
"수식,",1
"화학식,",3
"제스처,",1
필순까지,1
인식이,1
가능하다고,2
측은,1
설명했다.셀바스AI,1
관계자는,3
"""기존에는",1
수학식을,2
작성하고,1
편집하기,1
복잡하고,1
불편한,1
수식편집기를,1
사용해야,1
가능했지만,1
셀비,10
펜은,1
작성된,1
쉽게,2
문자로,1
변환할,1
교사나,1
학생들에게,1
매우,1
"편리하다""며",1
"""한글,",1
"영어,",2
중국어,2
"수학식,",2
제스처까지,2
손글씨를,3
인식하는,3
펜이,2
산업에,2
기여할,6
있도록,14
계속,2
확대해,3
나갈,2
"계획""이라고",1
말했다.,15
양지윤,2
AI기반,2
애플리케이션,3
‘매쓰피드’에,1
밝혔다.(사진=셀바스AI)서비스에,1
Pen)은,2
전환한다.,1
제공한다.매쓰피드에,1
솔루션(Selvy,1
변환하는,1
최초,2
기술이다.,1
96%,1
제공한다.,1
김동호,1
문자인식,1
랩(Lab)장은,1
"“한글,",1
계획“이라고,1
김응태,1
질병,1
예측,6
‘셀비,2
체크업(Selvy,1
Checkup)’이,1
하나금융파인드의,1
인슈어테크,2
플랫폼,5
핑글,1
내,6
‘핑글헬스’로,1
서비스된다고,1
5일,4
밝혔다.셀비,1
체크업의,1
하나금융파인트,1
‘핑글’,1
서비스,2
적용,4
화면.,1
(사진=셀바스AI)셀비,1
체크업은,2
사용자의,1
건강검진,2
정보를,1
기반으로,9
주요,8
질환에,2
발병,1
위험도를,1
예측해주는,1
실제,1
데이터를,8
만들어진,1
학습,2
모델을,2
활용해,4
예측도를,1
보유하고,2
있다.셀바스AI는,2
체크업을,1
하나금융파인드,1
‘핑글’에서,1
서비스하기로,1
핑글헬스,1
서비스를,4
이용하면,1
개인,2
결과를,4
생활습관,1
병과,1
6대암을,1
질환,2
10개의,1
4년,1
발형,1
위험을,6
분석할,1
